epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.992,0.87389,1.11149,1.23175,0.84731,0.63542,0.70773,0.59577,1.18409,1.51754,1.28489,0.00056,0.00056,0.00056
2,337.48,0.93032,1.00548,1.18142,0.78976,0.52083,0.61383,0.49361,1.148,1.43385,1.32688,0.00111179,0.00111179,0.00111179
3,504.463,1.04142,1.14553,1.22213,0.84902,0.64583,0.73818,0.57338,1.20199,1.41471,1.32502,0.00163486,0.00163486,0.00163486
4,678.78,1.00811,1.00976,1.20026,0.82734,0.55208,0.6892,0.51881,1.40701,1.58834,1.54861,0.0018515,0.0018515,0.0018515
5,846.869,1.04959,1.0302,1.20609,0.85801,0.50362,0.65886,0.52466,1.32214,2.36279,1.36932,0.001802,0.001802,0.001802
6,1012.43,1.01339,0.93438,1.17728,0.81924,0.5,0.61769,0.4761,1.59744,1.83234,1.6535,0.0017525,0.0017525,0.0017525
7,1179.45,0.95309,0.85105,1.16422,0.82868,0.63542,0.74264,0.52701,1.41719,1.27,1.5193,0.001703,0.001703,0.001703
8,1347.83,0.90332,0.81363,1.12162,0.79284,0.66667,0.78511,0.5954,1.25673,1.5525,1.39167,0.0016535,0.0016535,0.0016535
9,1516.33,0.93728,0.82121,1.1427,0.73735,0.58487,0.65627,0.48252,1.47049,1.56765,1.49909,0.001604,0.001604,0.001604
10,1684.17,0.97611,0.8684,1.20833,0.83005,0.71229,0.79561,0.59285,1.38319,1.17593,1.40971,0.0015545,0.0015545,0.0015545
11,1853.92,0.89614,0.82734,1.12914,0.81115,0.66667,0.7573,0.58399,1.15335,1.16672,1.32078,0.001505,0.001505,0.001505
12,2021.44,0.91307,0.7988,1.16964,0.78152,0.63542,0.72636,0.57688,1.2362,1.30103,1.39104,0.0014555,0.0014555,0.0014555
13,2189.96,0.85337,0.74975,1.11775,0.73117,0.66667,0.70217,0.54812,1.48702,1.43106,1.58754,0.001406,0.001406,0.001406
14,2361,0.88134,0.76621,1.11766,0.76788,0.68921,0.75973,0.60022,1.17487,1.13602,1.26372,0.0013565,0.0013565,0.0013565
15,2531.91,0.8854,0.74807,1.13578,0.80098,0.72917,0.82012,0.62733,1.20821,0.93111,1.33816,0.001307,0.001307,0.001307
16,2699.24,0.87162,0.71647,1.12515,0.69764,0.8125,0.80684,0.60573,1.17668,0.96841,1.3139,0.0012575,0.0012575,0.0012575
17,2865.37,0.83696,0.70157,1.08368,0.73887,0.71875,0.79415,0.63278,1.13892,1.11956,1.26574,0.001208,0.001208,0.001208
18,3035.45,0.81615,0.68071,1.07419,0.80655,0.71875,0.8156,0.64731,1.15312,0.97556,1.34494,0.0011585,0.0011585,0.0011585
19,3201.7,0.90938,0.83894,1.13305,0.78121,0.74392,0.79566,0.61804,1.21181,1.10205,1.3334,0.001109,0.001109,0.001109
20,3368.49,0.79517,0.6759,1.05169,0.79554,0.79167,0.8395,0.66675,1.08916,0.90872,1.29677,0.0010595,0.0010595,0.0010595
21,3533.39,0.72385,0.58193,1.0457,0.80888,0.75,0.83547,0.66513,1.15287,0.94288,1.35141,0.00101,0.00101,0.00101
22,3701.83,0.73877,0.83634,1.01936,0.83034,0.80208,0.83844,0.6749,1.17167,0.91388,1.39248,0.0009605,0.0009605,0.0009605
23,3870.41,0.79727,0.6405,1.08219,0.79707,0.79167,0.85139,0.68599,1.17138,0.90859,1.38424,0.000911,0.000911,0.000911
24,4037.41,0.74273,0.66062,1.04446,0.79844,0.79167,0.83212,0.67302,1.08864,0.85281,1.30897,0.0008615,0.0008615,0.0008615
25,4225.6,0.72375,0.59755,1.02657,0.89304,0.71875,0.83246,0.68966,0.92543,0.74572,1.17683,0.000812,0.000812,0.000812
26,4417,0.76471,0.5919,1.03029,0.83026,0.78125,0.86659,0.70497,1.00628,0.69382,1.22857,0.0007625,0.0007625,0.0007625
27,4584.64,0.72247,0.64074,1.03641,0.80544,0.77626,0.84172,0.6739,1.02675,0.77717,1.25991,0.000713,0.000713,0.000713
28,4752.63,0.6644,0.66342,0.97923,0.80649,0.82488,0.85416,0.67155,1.06391,0.71638,1.30623,0.0006635,0.0006635,0.0006635
29,4920.44,0.65462,0.51892,1.00966,0.87853,0.75,0.84948,0.68723,1.00147,0.71123,1.26373,0.000614,0.000614,0.000614
30,5086.71,0.65682,0.51291,1.01001,0.85633,0.77083,0.85071,0.69389,1.00078,0.69364,1.24055,0.0005645,0.0005645,0.0005645
31,5252.35,0.5945,0.44964,0.94942,0.79716,0.79167,0.83051,0.67596,1.07163,0.81817,1.25479,0.000515,0.000515,0.000515
32,5421.88,0.59022,0.44516,0.95212,0.81259,0.84375,0.86126,0.68746,1.09766,0.70557,1.25414,0.0004655,0.0004655,0.0004655
33,5587.76,0.57944,0.39479,0.95401,0.84495,0.82292,0.86578,0.69058,1.06498,0.7365,1.2746,0.000416,0.000416,0.000416
34,5805.88,0.55764,0.40085,0.93512,0.85775,0.83333,0.86995,0.71519,1.00541,0.64151,1.25291,0.0003665,0.0003665,0.0003665
35,6046.59,0.53111,0.43645,0.94436,0.82982,0.83333,0.86171,0.7042,1.02158,0.65276,1.28869,0.000317,0.000317,0.000317
36,6268.46,0.52914,0.36827,0.91688,0.85525,0.83333,0.87034,0.70746,0.94092,0.64327,1.2538,0.0002675,0.0002675,0.0002675
37,6456.97,0.50305,0.35324,0.92282,0.87234,0.85415,0.86859,0.7099,0.94625,0.66488,1.25235,0.000218,0.000218,0.000218
38,6623.57,0.49009,0.34011,0.90933,0.82388,0.84375,0.85064,0.70569,0.96945,0.6753,1.25414,0.0001685,0.0001685,0.0001685
