epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.7948,0.56594,1.97045,1.01773,0.7265,0.67538,0.76336,0.6902,0.58219,2.19586,1.0474,0.0003,0.0003,0.0003
2,185.657,0.58218,1.09337,0.9901,0.92244,0.80637,0.88561,0.78284,0.65487,2.00756,1.07619,0.000607724,0.000607724,0.000607724
3,282.612,0.63247,1.1573,1.04129,0.56669,0.42121,0.44453,0.22118,1.55525,3.68904,1.89643,0.000902776,0.000902776,0.000902776
4,376.751,0.62997,1.03812,1.01524,0.59257,0.59322,0.65621,0.55538,0.87381,2.50056,1.22443,0.00118516,0.00118516,0.00118516
5,475.155,0.72003,1.06287,1.0728,0.69955,0.63149,0.68889,0.5124,1.13581,2.56931,1.46931,0.00145486,0.00145486,0.00145486
6,568.792,0.69115,0.92337,1.03121,0.79889,0.61017,0.73311,0.58009,1.13238,1.93748,1.52669,0.0017119,0.0017119,0.0017119
7,663.918,0.66771,0.89601,1.0309,0.88069,0.54237,0.6901,0.6064,0.98967,2.18943,1.30637,0.0017624,0.0017624,0.0017624
8,757.747,0.72663,0.91622,1.06256,0.8985,0.54237,0.69632,0.55777,1.27189,1.91028,1.54995,0.0017228,0.0017228,0.0017228
9,850.418,0.70033,0.86471,1.06148,0.94156,0.74576,0.85993,0.68858,0.96328,1.6301,1.31961,0.0016832,0.0016832,0.0016832
10,942.365,0.68205,0.80844,1.03447,0.93237,0.79661,0.91412,0.74602,0.86379,1.53693,1.2592,0.0016436,0.0016436,0.0016436
11,1033.82,0.6181,0.71186,0.99225,0.66292,0.42373,0.50658,0.28614,1.54293,2.51225,1.85389,0.001604,0.001604,0.001604
12,1126.58,0.61563,0.70383,0.98976,0.7861,0.56065,0.69786,0.47143,1.13014,1.97667,1.37268,0.0015644,0.0015644,0.0015644
13,1224.4,0.64307,0.72964,1.01409,0.96149,0.84643,0.89704,0.77546,0.82723,1.15142,1.24222,0.0015248,0.0015248,0.0015248
14,1317.08,0.56724,0.63884,0.97221,0.9948,0.9322,0.94612,0.82229,0.7063,0.94051,1.05048,0.0014852,0.0014852,0.0014852
15,1412.25,0.58375,0.63177,0.98784,0.94085,0.91525,0.93521,0.81171,0.79074,1.12529,1.17394,0.0014456,0.0014456,0.0014456
16,1508.63,0.53091,0.58174,0.93963,0.94348,0.91525,0.9356,0.8073,0.77112,1.23739,1.19642,0.001406,0.001406,0.001406
17,1603.01,0.53097,0.57156,0.95279,0.89796,0.89495,0.91624,0.79855,0.79029,0.91434,1.35093,0.0013664,0.0013664,0.0013664
18,1695.78,0.53752,0.56196,0.96696,0.94386,0.84746,0.89946,0.80602,0.64037,0.90553,1.07923,0.0013268,0.0013268,0.0013268
19,1788.05,0.56834,0.55624,1.00979,0.96444,0.9322,0.94413,0.85974,0.64157,0.73162,1.06145,0.0012872,0.0012872,0.0012872
20,1881.83,0.50851,0.5178,0.96074,0.9975,0.9661,0.96514,0.86069,0.69267,0.65017,1.11319,0.0012476,0.0012476,0.0012476
21,1975.5,0.53535,0.5148,0.96509,0.96111,0.91525,0.92237,0.84665,0.69581,0.81628,1.12734,0.001208,0.001208,0.001208
22,2070.18,0.49287,0.47284,0.94269,1,0.93171,0.94832,0.87206,0.579,0.66483,1.02214,0.0011684,0.0011684,0.0011684
23,2163.06,0.49396,0.48031,0.93743,0.98067,0.89831,0.94547,0.8786,0.59403,0.67758,1.02417,0.0011288,0.0011288,0.0011288
